ID,Name,Maps,Adresse,Name,Straße,PLZ,Ort,Erstellt am
25,,Grundschulen,"Pestalozzistraße 3, Bobingen, Deutschland",,Pestalozzistraße,86399,Bobingen,6. März 2023
26,9,Grundschulen,"Schulstraße 9, 86462 Langweid am Lech",9,Schulstraße,86462,Langweid am Lech,6. März 2023
27,20,Mittelschulen,"Kapellenstraße 20, 86154 Augsburg, Deutschland",20,Kapellenstraße,86154,Augsburg,6. März 2023
28,35,Mittelschulen,"Brahmsstraße 35, 86179 Augsburg, Deutschland",35,Brahmsstraße,86179,Augsburg,6. März 2023
29,,Realschulen,"Realschule Affing, Augsburger Str. 4, Bergen 86444 Affing, Deutschland",,"Realschule Affing, Augsburger Str. 4, Bergen 86444 Affing, Deutschland",,,6. März 2023
30,16,Realschulen,"Breitweg 16, Schwabmünchen, Deutschland",16,Breitweg,86830,Schwabmünchen,6. März 2023
31,57,Gymnasien,"Paul-Klee-Gymnasium, Schubertstraße 57, 86368 Gersthofen, Deutschland",57,Schubertstraße,86368,Gersthofen,6. März 2023
32,10,Gymnasien,"An der Blauen Kappe 10, 86152 Augsburg, Deutschland",10,An der Blauen Kappe,86152,Augsburg,6. März 2023
33,,Förderschulen,"Kohlstattstraße 2A, 86424 Dinkelscherben, Deutschland",,Kohlstattstraße,86424,Dinkelscherben,6. März 2023
34,,Förderschulen,"Karwendelstraße 6-8, 86343 Königsbrunn, Deutschland",,Karwendelstraße,86343,Königsbrunn,6. März 2023
59,15,Grundschulen,"Geschwister-Scholl-Straße 15, 86507 Oberottmarshausen, Deutschland",15,Geschwister-Scholl-Straße,86507,Oberottmarshausen,14. März 2023
1007,10,Grundschulen,"Grundschule Adelsried, Im Deutenloh 10, 86477 Adelsried, Deutschland",10,Im Deutenloh,86477,Adelsried,22. Juni 2023
1008,11,Grundschulen,"Schulstraße 11, 86450 Altenmünster, Deutschland",11,Schulstraße,86450,Hennhofen,23. Juni 2023
1009,2,Grundschulen,"Bäckergasse 2, 86482 Aystetten, Deutschland",2,Bäckergasse,86482,Aystetten,23. Juni 2023
1010,3,Grundschulen,"Grundschule Biberbach, Pfarrer-Ginther-Weg 3, 86485 Biberbach, Deutschland",3,Pfarrer-Ginther-Weg,86485,Albertshofen,23. Juni 2023
1011,3,Grundschulen,"Grundschule Biberbach, Pfarrer-Ginther-Weg 3, 86485 Biberbach, Deutschland",3,Pfarrer-Ginther-Weg,86485,Albertshofen,23. Juni 2023
1012,,Grundschulen,"Willi-Ohlendorf-Weg 7, 86399 Bobingen, Deutschland",,Willi-Ohlendorf-Weg,86399,Bobingen,23. Juni 2023
1013,,Grundschulen,"Grundschule Bobingen an der Singold (Außenstelle Siedlung), Grenzstraße 7, 86399 Bobingen, Deutschland",,"Grundschule Bobingen an der Singold (Außenstelle Siedlung), Grenzstraße 7, 86399 Bobingen, Deutschland",,,23. Juni 2023
1014,17,Grundschulen,"Pestalozzistraße 17, 86420 Diedorf, Deutschland",17,Pestalozzistraße,86420,Diedorf,23. Juni 2023
1015,17,Mittelschulen,"Pestalozzistraße 17, 86420 Diedorf, Deutschland",17,Pestalozzistraße,86420,Diedorf,23. Juni 2023
1016,11,Grundschulen,"Gessertshauser Straße 11, 86420 Diedorf, Deutschland",11,Gessertshauser Straße,86420,Diedorf,23. Juni 2023
1017,2,Grundschulen,"GMS Dinkelscherben, Kohlstattstraße 2, 86424 Dinkelscherben, Deutschland",2,Kohlstattstraße,86424,Dinkelscherben,23. Juni 2023
1018,2,Mittelschulen,"GMS Dinkelscherben, Kohlstattstraße 2, 86424 Dinkelscherben, Deutschland",2,Kohlstattstraße,86424,Dinkelscherben,23. Juni 2023
1019,7,Grundschulen,"Schulstraße 7, 86494 Emersacker, Deutschland",7,Schulstraße,86494,Emersacker,23. Juni 2023
1020,15,Grundschulen,"Mühlstraße 15, Fischach, Deutschland",15,Mühlstraße,86850,Fischach,23. Juni 2023
1021,9,Grundschulen,"Schulstraße 9, 86863 Langenneufnach, Deutschland",9,Schulstraße,86863,Langenneufnach,23. Juni 2023
1022,15,Mittelschulen,"Mühlstraße 15, 86850 Fischach, Deutschland",15,Mühlstraße,86850,Fischach,23. Juni 2023
1023,,Grundschulen,"Volksschule Gablingen, Holzhauser Weg 5, 86456 Gablingen, Deutschland",,"Volksschule Gablingen, Holzhauser Weg 5, 86456 Gablingen, Deutschland",,,24. Juni 2023
1024,,Grundschulen,"Goethe-Grundschule Gersthofen, Alpenstraße 4, 86368 Gersthofen, Deutschland",,"Goethe-Grundschule Gersthofen, Alpenstraße 4, 86368 Gersthofen, Deutschland",,,24. Juni 2023
1025,2,Grundschulen,"Jahnstraße 2, 86368 Gersthofen, Deutschland",2,Jahnstraße,86368,Gersthofen,24. Juni 2023
1026,1,Grundschulen,"Brucknerstraße 1, Gersthofen, Deutschland",1,Brucknerstraße,86368,Gersthofen,24. Juni 2023
